Text 1	Text 2	Text 3	Sound 3	Category 1
的|de|	的|[particule reliant déterminant et déterminé]	de|▸ 的 [de] [particule reliant déterminant et déterminé]	5f02f0889301fd7be1ac972c11bf3e7d.m4a	1
一|yī|	一|un, (clé 1)	yī|▸ 一 [yī] un, (clé 1)	6c36e38fb01552b98be84e8dc491555d.m4a	2
是|shì|	是|être (mais pas pour l'épithète, proche du signe « = »)	shì|<color gray>▸ 十 [shí] (clé 24)</color>|▸ 是 [shì] être (mais pas pour l'épithète, proche du signe « = »)	e288708e499822673cf31e563c202b9a.m4a	3
不|bù|	不|ne pas (être)	bù|▸ 不 [bù] ne pas (être)	b2f7d59de8478eb3554beccc8f2d3f81.m4a	4
人|rén|	人|une personne	rén|▸ 人 [rén] une personne	9ed510416a5d2db2c34048455ac162f8.m4a	5
了|le|	了|(particule de l'accompli)	le|▸ 了 [le] (particule de l'accompli)	d9180594744f870aeefb086982e980bb.m4a	6
我|wǒ|	我|je, moi	wǒ|▸ 我 [wǒ] je, moi	21082882c82638d29ea11052d4b709fa.m4a	7
在|zài|locatif	在|à, en, se trouver à	zài|▸ 再 [zài] encore (dans l'avenir)|▸ 在 [zài] à, en, se trouver à	417dcf99eb00088566f3fc39c5da1019.m4a	8
有|yǒu|	有|avoir	yǒu|▸ 有 [yǒu] avoir	30eccae6db43409f72a2156bbc412a91.m4a	9
国|guó|état	国|pays	guó|▸ 国 [guó] pays	771d795b5faec63ca2a5011fd2efdfa0.m4a	10
中|zhōng|	中|milieu, centre, moyen	zhōng|▸ 中 [zhōng] milieu, centre, moyen	0ac2a0b82d5088bfd5e979098d142ecc.m4a	11
大|dà|	大|grand, (clé 37)	dà|▸ 大 [dà] grand, (clé 37)	fa83b69820de4051929f48017f25274b.m4a	12
他|tā|3e personne	他|il, lui	tā|▸ 他 [tā] il, lui|▸ 她 [tā] elle|▸ 它 [tā] il, elle (neutre)	a9d2b00eace06e701519fe9966e7e16d.m4a	13
个|gè|	个|{spécificatif général}	gè|▸ 个 [gè] {spécificatif général}	387a209deefe48cb3afb68b8414211e3.m4a	14
们|men|	们|[suffixe du pluriel]	men|▸ 们 [men] [suffixe du pluriel]	d2fc17cc2feffa1de5217a3fd29e91e8.m4a	15
年|nián|année	年|année	nián|▸ 年 [nián] année	6de71f633e440ac94006e82e8800651c.m4a	16
和|hé|	和|et, avec	hé|▸ 和 [hé] et, avec	33fcd01258e6ba07ef405dc9e721f3a7.m4a	17
和|hé|	和|somme	hé|▸ 和 [hé] et, avec	33fcd01258e6ba07ef405dc9e721f3a7.m4a	18
也|yě|	也|aussi (phrase positive)	yě|▸ 也 [yě] aussi (phrase positive)	a88aed83181848a47b15b654dd83679a.m4a	19
也|yě|	也|non plus (phrase négative)	yě|▸ 也 [yě] aussi (phrase positive)	a88aed83181848a47b15b654dd83679a.m4a	20
学|xué|	学|apprendre, étudier, suffixe -ologie	xué|▸ 学 [xué] apprendre, étudier, suffixe -ologie	bdb99d0c15e0d474bedf39a816aa1a6d.m4a	21
对|duì|	对|juste, exact	duì|▸ 对 [duì] juste, exact	f95aa7f129e9183211aeb789b1709c56.m4a	22
对|duì|	对|en face (en composition)	duì|▸ 对 [duì] juste, exact	f95aa7f129e9183211aeb789b1709c56.m4a	23
文|wén|	文|culture,langue	wén|▸ 文 [wén] culture,langue|<color gray>▸ 问 [wèn] demander, interroger</color>	ee746de1c56ac58057ad4508d39e40ba.m4a	24
家|jiā|	家|maison	jiā|▸ 家 [jiā] maison	fd70348f5363ee5bb722bb501855e2e4.m4a	25
十|shí|	十|(clé 24)	shí|▸ 十 [shí] (clé 24)|<color gray>▸ 是 [shì] être (mais pas pour l'épithète, proche du signe « = »)</color>	9fc4642cde210842bd0f308e24448775.m4a	26
