Text 1	Text 2	Picture 2	Text 3	Sound 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
88|bāba|0	<font size=5>▸  bye-bye (chat) [translitt., plaisant.]</font><color gray>|<font size=5>▸  &#97;&#117; &#114;&#101;&#118;&#111;&#105;&#114;</font></color>		<center>88|bāba</center>	e3b8a885af0e33844190df3b5b194275.m4a			0	||<font size=4>▸ <font size=6>88</font> [bāba] &#98;&#121;&#101;-&#98;&#121;&#101; (&#99;&#104;&#97;&#116;) [&#116;&#114;&#97;&#110;&#115;&#108;&#105;&#116;&#116;., &#112;&#108;&#97;&#105;&#115;&#97;&#110;&#116;.]|<color gray>▸ <font size=6>&#20877;&#35265;</font> [zàijiàn] &#97;&#117; &#114;&#101;&#118;&#111;&#105;&#114;</color></font>	88	<font size=12></font> (bāba)||
一|yī|0	<center><font size=5>un, (clé 1)</font></center>|<font size=4><i>« 2015 (&#97;&#110;&#110;&#233;&#101;) »</i></font>	pic-hand1.jpg	<center>一|yī</center>	6c36e38fb01552b98be84e8dc491555d.m4a	|<font size=9>&#20108;&#38646;<color yellow>&#19968;</color>&#20116;&#24180;</font>	7351ba7492dd07b3f2c8ca4d160f852e.m4a	1		一	<font size=12>一</font> (yī)|
七|qī|0	<center></center>	pic-hand7.jpg	<center>七|qī</center>	b39037925ecff0181d5360e1583f745b.m4a			0		七	<font size=12>七</font> (qī)|
三|sān|0	<center><font size=5></font></center>|<font size=4><i>« 13 »</i></font>	pic-hand3.jpg	<center>三|sān</center>	03c1e916c7d1f386f25b7fb74ceeee23.m4a	|<font size=9>&#21313;<color yellow>&#19977;</color></font>	4a1cecc8381860a57bd1981034869610.m4a	1		三	<font size=12>三</font> (sān)|
不|bù|0	<center><font size=5>ne pas (être)</font></center>|<font size=4><i>« &#77;&#97; &#109;&#97;&#105;&#115;&#111;&#110; &#110;'&#101;&#115;&#116; &#112;&#97;&#115; &#103;&#114;&#97;&#110;&#100;&#101;. »</i></font>		<center>不|bù</center>	b2f7d59de8478eb3554beccc8f2d3f81.m4a	|<font size=9>&#25105;&#23478;<color yellow>&#19981;</color>&#22823;。</font>	9481b021bbf31b148949e98f91200eee.m4a	1		不	<font size=12>不</font> (bù)|Mots associés :|不用　 [búyòng] inutile…|不好　 [bùhǎo] (être) mauvais…|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé
不好|bùhǎo|0	<center>(être) mauvais, pas d'accord</center>		<center>不好|bùhǎo</center>	bd15fa0adddbd3ef71e0cfbbaca432ee.m4a			0		不好	<font size=12>不好</font> (bùhǎo)||Mots associés :|不　　 [bù] ne pas (être)|不用　 [búyòng] inutile…|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé|大家好 [dàjiā hǎo] bonjour tout l…|你好　 [nǐhǎo] bonjour|好　　 [hǎo] (être) bien…
不用|búyòng|0	<center>inutile, ne pas utiliser</center>		<center>不用|búyòng</center>	e32aa011e21578241fe16a8baf22852a.m4a			0		不用	<font size=12>不用</font> (búyòng)||Mots associés :|不　　 [bù] ne pas (être)|不好　 [bùhǎo] (être) mauvais…|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé|用　　 [yòng] utiliser
个|gè|0	<center><font size=5>{spécificatif général}</font></center>|<font size=4><i>« &#73;&#108;&#115; &#115;&#111;&#110;&#116; &#99;&#104;&#101;&#122; &#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115; (&#108;&#105;&#116;&#116;. &#100;&#97;&#110;&#115; &#108;&#97; &#109;&#97;&#105;&#115;&#111;&#110; &#100;'&#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115;). »</i></font>		<center>个|gè</center>	387a209deefe48cb3afb68b8414211e3.m4a	|<font size=9>&#20182;&#20204;&#22312;&#19968;<color yellow>&#20010;</color>&#27861;&#22269;&#26379;&#21451;&#30340;&#23478;&#37324;。</font>	e70ac0dec2366dc70408ec74e2da43ba.m4a	1		个	<font size=12>个</font> (gè)|Mots associés :|几个　 [jǐgè] combien (petit nomb…|十个月 [shígèyuè] dix mois
中国|zhōngguó|0	<center>la Chine</center>		<center>中国|zhōngguó</center>	07df4f2f2c8805c532e5fa7c0b57d95d.m4a			0		中国	<font size=12>中国</font> (zhōngguó)||Mots associés :|中国人 [zhōngguórén] un Chinois|中文　 [zhōngwén] la langue chino…|法国人 [fǎguórén] français|国　　 [guó] pays|国家　 [guójiā] pays…|法国　 [fǎguó] France|德国人 [déguórén] allemand|德国　 [déguó] Allemagne
中国人|zhōngguórén|0	<center>un Chinois</center>		<center>中国人|zhōngguórén</center>	abdea8783d5b26483a0c8437a3fea9be.m4a			0		中国人	<font size=12>中国人</font> (zhōngguórén)||Mots associés :|中国　 [zhōngguó] la Chine|中文　 [zhōngwén] la langue chino…|法国人 [fǎguórén] français|国　　 [guó] pays|国家　 [guójiā] pays…|法国　 [fǎguó] France|德国人 [déguórén] allemand|德国　 [déguó] Allemagne|家人　 [jiārén] membres de la fam…|人　　 [rén] une personne
