Text 1	Text 2	Sound 2	Text 3	Extra Info
fǎwén	1	8735bc6f552092441e334ecf4fef2508.m4a	fǎwén|▸ 法文 la langue française	<font size=12>法文</font> (fǎwén)||Mots associés :|法国　　 [fǎguó] France|法国人　 [fǎguórén] français|法德学院 [fǎdéxuéyuàn] institut fr…|文　　　 [wén] culture,langue|德文　　 [déwén] la langue alleman…|中文　　 [zhōngwén] la langue chin…
zhōngwén	1	e61ad554c972e7978b7df24b34231fc4.m4a	zhōngwén|▸ 中文 la langue chinoise	<font size=12>中文</font> (zhōngwén)||Mots associés :|中国　 [zhōngguó] la Chine|中　　 [zhōng] milieu…|中国人 [zhōngguórén] un Chinois|文　　 [wén] culture,langue|德文　 [déwén] la langue allemand…|法文　 [fǎwén] la langue français…
nǐde	1	780a17b3dbc7bea39e4e6fa842dcc36a.m4a	nǐde|▸ 你的 ton, tes	<font size=12>你的</font> (nǐde)||Mots associés :|你　　 [nǐ] tu, toi|你们的 [nǐmende] votre…|你们　 [nǐmen] vous (pluriel)|你好　 [nǐhǎo] bonjour|我的　 [wǒde] mon, mes|的　　 [de] [particule reliant dé…|它的　 [tāde] son…|她的　 [tāde] son…|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|他们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|他的　 [tāde] son…
shèngdànjié	1	f2d027e5c983dc77968ecda6668046d2.m4a	shèngdànjié|▸ 圣诞节 fête de Noël	<font size=12>圣诞节</font> (shèngdànjié)||Mots associés :|圣 [shèng] saint|节 [jié] fête (calendaire)
dàxuéshēng	1	3562975aecb33d1577bccc9c9966a368.m4a	dàxuéshēng|▸ 大学生 étudiant(e)	<font size=12>大学生</font> (dàxuéshēng)||Mots associés :|大　　　 [dà] grand, (clé 37)|多大　　 [dūodà] combien (grand)? …|大学　　 [dàxué] université|大家好　 [dàjiā hǎo] bonjour tout …|学院　　 [xuéyuàn] institut (d'étu…|法德学院 [fǎdéxuéyuàn] institut fr…|同学　　 [tóngxué] camarade de cla…|学　　　 [xué] apprendre…|学生　　 [xuéshéng] étudiant…|先生　　 [xiānshēng] monsieur|出生　　 [chūshēng] naître|生日　　 [shēngrì] anniversaire
jīntiān	1	ae43a25746570de80711427d8d733a64.m4a	jīntiān|▸ 今天 aujourd'hui	<font size=12>今天</font> (jīntiān)||Mots associés :|今年 [jīnnián] cette année|天空 [tiānkōng] le ciel|天　 [tiān] jour, ciel|明天 [míngtiān] demain
tāde	3	c03e0bb39977e9d930508c6437ed7662.m4a	tāde|▸ 他的 son, sa, ses (possesseur masculin)|▸ 她的 son, sa, ses (possesseur féminin)|▸ 它的 son, sa, ses (possesseur neutre)	
xīngqīrì	1	cfcb1db2c5ffe6a0abf138acb22d995f.m4a	xīngqīrì|▸ 星期日 dimanche	<font size=12>星期日</font> (xīngqīrì)||Mots associés :|星期六 [xīngqīliù] samedi|星期五 [xīngqīwǔ] vendredi|星期一 [xīngqīyī] lundi|星　　 [xīng] étoile|星期二 [xīngqīèr] mardi|星期　 [xīngqī] semaine|星期三 [xīngqīsān] mercredi|星期四 [xīngqīsì] jeudi|期　　 [qī] période, échéance|日本人 [rìběnrén] un Japonais|日　　 [rì] jour…|日本　 [rìběn] Japon|生日　 [shēngrì] anniversaire
fǎguórén	1	8034484b7d0e7076f88497d04b83f1c6.m4a	fǎguórén|▸ 法国人 français	<font size=12>法国人</font> (fǎguórén)||Mots associés :|法国　　 [fǎguó] France|法文　　 [fǎwén] la langue françai…|法德学院 [fǎdéxuéyuàn] institut fr…|德国　　 [déguó] Allemagne|中国人　 [zhōngguórén] un Chinois|德国人　 [déguórén] un Allemand|国家　　 [guójiā] pays…|英国　　 [yīngguó] Royaume-Uni|国　　　 [guó] pays|中国　　 [zhōngguó] la Chine|人　　　 [rén] une personne|家人　　 [jiārén] membres de la fa…|日本人　 [rìběnrén] un Japonais
xiōngdì	1	1ba28498f147b37e18b018db0c0287af.m4a	xiōngdì|▸ 兄弟 frères	<font size=12>兄弟</font> (xiōngdì)||Mots associés :|弟弟 [dìdi] petit frère
