Text 1	Text 2	Text 3	Sound 3	Picture 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
88|bāba|0	<size 1.7><center>88</center></size>	<center><font size=6>bāba|bye-bye (chat) [translitt., plaisant.]</font></center>	e3b8a885af0e33844190df3b5b194275.m4a				0		88	<font size=12></font> (bāba)||
NB|niúbī|0	<size 1.7><center>NB</center></size>	<center><font size=6>niúbī|[abr. internet], awesome (anglais), énorme, génial</font></center>	da645098fc15b788008d72dc3a64a102.m4a				0		NB	<font size=12></font> (niúbī)||
一|yī|0	<size 1.7><center>一</center></size>	<font size=5>yī|un, (clé 1)</font>|<font size=4><i>« 2015 (&#97;&#110;&#110;&#233;&#101;) »</i></font>	6c36e38fb01552b98be84e8dc491555d.m4a	pic-hand1.jpg	|<font size=9>&#20108;&#38646;<color yellow>&#19968;</color>&#20116;&#24180;</font>	7351ba7492dd07b3f2c8ca4d160f852e.m4a	1		一	<font size=12>一</font> (yī)|Mots associés :|星期一 [xīngqīyī] lundi|一百　 [yìbǎi] cent
一百|yìbǎi|0	<size 1.7><center>一百</center></size>	<font size=5>yìbǎi|cent</font>|<font size=4><i>« &#76;'&#233;&#99;&#111;&#108;&#101; &#97; &#99;&#101;&#110;&#116; &#115;&#111;&#105;&#120;&#97;&#110;&#116;&#101;-&#115;&#101;&#112;&#116; &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;&#115;. »</i></font>	471ca00048f3037e99b628558fdce3fc.m4a		|<font size=9>&#23398;&#26657;&#37324;&#26377;<color yellow>&#19968;&#30334;</color>&#20845;&#21313;&#19971;&#20010;&#23398;&#29983;。</font>	01d8951379b71fb9942a075231c159da.m4a	1		一百	<font size=12>一百</font> (yìbǎi)||Mots associés :|一　　 [yī] un, (clé 1)|星期一 [xīngqīyī] lundi|两百　 [liǎngbǎi] deux cents|百　　 [bǎi] cent
七|qī|0	<size 1.7><center>七</center></size>	<font size=5>qī|</font>|<font size=4><i>« &#76;'&#233;&#99;&#111;&#108;&#101; &#97; &#99;&#101;&#110;&#116; &#115;&#111;&#105;&#120;&#97;&#110;&#116;&#101;-&#115;&#101;&#112;&#116; &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;&#115;. »</i></font>	b39037925ecff0181d5360e1583f745b.m4a	pic-hand7.jpg	|<font size=9>&#23398;&#26657;&#37324;&#26377;&#19968;&#30334;&#20845;&#21313;<color yellow>&#19971;</color>&#20010;&#23398;&#29983;。</font>	01d8951379b71fb9942a075231c159da.m4a	1		七	<font size=12>七</font> (qī)|
三|sān|0	<size 1.7><center>三</center></size>	<font size=5>sān|</font>|<font size=4><i>« 13 »</i></font>	03c1e916c7d1f386f25b7fb74ceeee23.m4a	pic-hand3.jpg	|<font size=9>&#21313;<color yellow>&#19977;</color></font>	4a1cecc8381860a57bd1981034869610.m4a	1		三	<font size=12>三</font> (sān)|Mots associés :|星期三 [xīngqīsān] mercredi
不|bù|0	<size 1.7><center>不</center></size>	<font size=5>bù|ne pas (être)</font>|<font size=4><i>« &#77;&#97; &#109;&#97;&#105;&#115;&#111;&#110; &#110;'&#101;&#115;&#116; &#112;&#97;&#115; &#103;&#114;&#97;&#110;&#100;&#101;. »</i></font>	b2f7d59de8478eb3554beccc8f2d3f81.m4a		|<font size=9>&#25105;&#23478;<color yellow>&#19981;</color>&#22823;。</font>	9481b021bbf31b148949e98f91200eee.m4a	1		不	<font size=12>不</font> (bù)|Mots associés :|不用　 [búyòng] inutile…|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé|不好　 [bùhǎo] (être) mauvais…
不好|bùhǎo|0	<size 1.7><center>不好</center></size>	<center><font size=6>bùhǎo|(être) mauvais, pas d'accord</font></center>	bd15fa0adddbd3ef71e0cfbbaca432ee.m4a				0		不好	<font size=12>不好</font> (bùhǎo)||Mots associés :|不用　 [búyòng] inutile…|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé|不　　 [bù] ne pas (être)|大家好 [dàjiā hǎo] bonjour tout l…|好　　 [hǎo] (être) bien…|你好　 [nǐhǎo] bonjour
不用|búyòng|0	<size 1.7><center>不用</center></size>	<font size=5>búyòng|inutile, ne pas utiliser</font>|<font size=4><i>« &#68;&#101; &#114;&#105;&#101;&#110; (&#108;&#105;&#116;&#116;. &#105;&#110;&#117;&#116;&#105;&#108;&#101; &#100;&#101; &#114;&#101;&#109;&#101;&#114;&#99;&#105;&#101;&#114;). »</i></font>	e32aa011e21578241fe16a8baf22852a.m4a		|<font size=9><color yellow>&#19981;&#29992;</color>&#35874;。</font>	7ee40734644b4966895792287cfc68b1.m4a	1		不用	<font size=12>不用</font> (búyòng)||Mots associés :|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé|不　　 [bù] ne pas (être)|不好　 [bùhǎo] (être) mauvais…|用　　 [yòng] utiliser
两|liǎng|0	<size 1.7><center>两</center></size>	<font size=5>liǎng|deux (numéral)</font>|<font size=4><i>« &#77;&#97; &#109;&#97;&#109;&#97;&#110; &#97; &#100;&#101;&#117;&#120; &#103;&#114;&#97;&#110;&#100;&#101;&#115; &#115;&#339;&#117;&#114;&#115; &#101;&#116; &#113;&#117;&#97;&#116;&#114;&#101; &#112;&#101;&#116;&#105;&#116;&#115; &#102;&#114;&#232;&#114;&#101;&#115;. »</i></font>	cc7dcd7fac9fe8053229b1991a80ce5e.m4a		|<font size=9>&#25105;&#30340;&#22920;&#22920;&#26377;<color yellow>&#20004;</color>&#20010;&#22992;&#22992;&#21644;&#22235;&#20010;&#24351;&#24351;。</font>	68fdd1c09763c027ae8ca473553262b8.m4a	1		两	<font size=12>两</font> (liǎng)|Mots associés :|两百 [liǎngbǎi] deux cents
