你	nǐ|tu, toi & 谢谢你。
你好	nǐhǎo|bonjour & bonjour & 你好，我叫刘婧娇。
我	wǒ|je, moi & 你好，我叫刘婧娇。
叫	jiào|s'appeler & 你好，我叫刘婧娇。
大	dà|grand, (clé 37) & 我家不大。
家	jiā|maison & 我家不大。
人	rén|une personne
家人	jiārén|membres de la famille
好	hǎo|(être) bien, bon, d'accord
不	bù|ne pas (être) & 我家不大。
不好	bùhǎo|(être) mauvais, pas d'accord
大家好	dàjiā hǎo|bonjour tout le monde & bonjour & 大家好，我是刘婧娇。
谢谢	xièxiè|merci & 谢谢你。
是	shì|être (mais pas pour l'épithète, proche du signe « = ») & 大家好，我是刘婧娇。
再	zài|encore (dans l'avenir)
见	jiàn|voir
再见	zàijiàn|au revoir & au revoir
精彩	jīngcǎi|génial (livre, film, spectacle, etc.)
对不起	duìbuqǐ(1)|excusez-moi (pour demander qqch) & s'il vous plaît
对不起	duìbuqǐ(0)|je suis désolé
对	duì(0)|juste, exact
对	duì(1)|en face (en composition)
请	qǐng(0)|inviter qqn à faire qqch, pourriez-vous..., pourrais-je... & s'il vous plaît & 请坐。
请	qǐng(1)|inviter qqn & 你在家请谁？
请问	qǐngwèn|puis-je vous demander? & s'il vous plaît & 请问，你叫什么名字？
名字	míngzi|nom & 请问，你叫什么名字？
哪	nǎ|lequel? & 你是哪国人？
哪里	nǎlǐ|où? & 请问，你家在哪里？
问	wèn|demander, interroger & 请问，你家在哪里？
在	zài|à, en, se trouver à & locatif & 请问，你家在哪里？
里	lǐ|dans, à l'intérieur [en suffixe] & locatif & 我在家里。
谁	shuí|qui? & 你是谁？
零	líng|zéro & 二零一五年
一	yī|<pic-hand1.jpg>un, (clé 1) & 二零一五年
二	èr|<pic-hand2.jpg>deux ordinal (clé 7) & 二零一五年
三	sān|<pic-hand3.jpg> & 十三
四	sì|<pic-hand4.jpg> & 四十四
五	wǔ|<pic-hand5.jpg> & 二零一五年
六	liù|<pic-hand6.jpg>
七	qī|<pic-hand7.jpg>
八	bā|<pic-hand8.jpg>(clé 12)
九	jiǔ|<pic-hand9.jpg> & 二零一五年十月十九日
十	shí|<pic-hand10.jpg>(clé 24) & 二零一五年十月十九日
年	nián|année & année & 二零一五年
月	yuè|mois, lune & 二零一五年十月十九日
十月	shíyuè|octobre & 二零一五年十月十九日
日	rì|jour, soleil, (clé 72) & 二零一五年十月十九日
滚	gǔn|rouler [intransitif] & 滚！

没	méi|ne pas (avoir) & ne pas avoir
没有	méiyǒu|ne pas avoir & ne pas avoir
有	yǒu|avoir
岁	suì|année (d'âge) & année

个	gè|{spécificatif général} & 他们在一个法国朋友的家里。
88	bāba|bye-bye (chat) [translitt., plaisant.] & au revoir
吗	ma|[interrogation] & 你们在家里吗？
很	hěn|très (sens faible, pour qualifier un attribut de façon absolue) & 他们的岁数很大。

它	tā|il, elle (neutre) & 3e personne
她	tā|elle & 3e personne
他	tā|il, lui & 3e personne
们	men|[suffixe du pluriel] & 我的学生们是德国人。
我们	wǒmen|nous & 我们很好。
你们	nǐmen|vous (pluriel) & 你们在家里吗？
他们	tāmen|ils, eux & 3e personne pluriel & 他们在一个法国朋友的家里。
它们	tāmen|ils, elles (neutre) & 3e personne pluriel
她们	tāmen|elles & 3e personne pluriel & 她们不是朋友。
几	jǐ|combien? (petit nombre) & combien? & 你几岁？
多大	dūodà|combien (grand)? (quantité, âge, taille) & 你多大岁数？
岁数	suìshù|âge & 他们的岁数很大。
的	de|[particule reliant déterminant et déterminé] & 他们在一个法国朋友的家里。
我的	wǒde|mon, mes & 我的学生们是德国人。
你的	nǐde|ton, tes & 我是你的朋友。
他的	tāde|son, sa, ses (possesseur masculin)
她的	tāde|son, sa, ses (possesseur féminin)
它的	tāde|son, sa, ses (possesseur neutre)
我们的	wǒmende|notre, nos
你们的	nǐmende|votre, vos (pluriel) & 我们是你们的朋友。
他们的	tāmende|leur (possesseur masculin ou multiple) & 他们的岁数很大。
她们的	tāmende|leur (possesseur féminin)
它们的	tāmende|leur (possesseur neutre)
朋友	péngyǒu|ami & 我们是你们的朋友。
学生	xuéshéng|étudiant, élève & 我是一个法国学生。
法国	Fǎguó|France & 我是一个法国学生。
法国人	Fǎguórén|français
国	guó|pays & état & 你是哪国人？
国家	guójiā|pays, nation, état & état
德国	Déguó|Allemagne & 我是德国人。
德国人	Déguórén|allemand
学	xué|apprendre, étudier, suffixe -ologie & 我们在大学学中文。
糟糕	zāogāo|zut! (litt. gâteau pourri)
中国	zhōngguó|la Chine
中国人	zhōngguórén|un Chinois
用	yòng|utiliser
不用	búyòng|inutile, ne pas utiliser
十个月	shígèyuè|dix mois
中文	zhōngwén|la langue chinoise & 我们在大学学中文。
文	wén|culture,langue & 我们在大学学中文。
法文	fǎwén|la langue française
德文	déwén|la langue allemande
老师	lǎoshī|professeur & 你们是我的德文老师。
大学	dàxué|université & 我们在大学学中文。
大学生	dàxuéshēng|étudiant(e)
几个	jǐgè|combien (petit nombre) & combien? & 你的家里有几个人？
于	yú|en (date) & 我出生于一九九五年六月二日。
同学	tóngxué|camarade de classe & 我们不是同学。
出生	chūshēng|naître & 我出生于一九九五年六月二日。
生日	shēngrì|date de naissance & 我的生日是十月九日。
院	yuàn|cour, institution publique [en composition]
学院	xuéyuàn|institut (d'études)
